hash,filename,testcase,type
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testVerifyMac_shiftedPrimaryWithManyKeysWorks,added
c51567c15d45c6e14b3461e38e1635b1775568cf,AesGcmSivKeyTest.java,testEqualities,added
c51567c15d45c6e14b3461e38e1635b1775568cf,AesGcmSivKeyTest.java,testDifferentKeyTypesEquality_fails,added
2a8bb5a2a20abf49eaa39f69790bcfb4e81b5668,AesGcmSivParametersTest.java,testEqualsAndEqualHashCode,added
2a8bb5a2a20abf49eaa39f69790bcfb4e81b5668,AesGcmSivParametersTest.java,testNotEqualandNotEqualHashCode,added
79c6ad458373698bbd2b13ddddc7e63849341eb5,AesGcmKeyTest.java,testEqualities,added
79c6ad458373698bbd2b13ddddc7e63849341eb5,AesGcmKeyTest.java,testDifferentKeyTypesEquality_fails,added
bb9aa176f6151f3ba66ebd7ff98b58800a205636,AesGcmParametersTest.java,testEqualsAndEqualHashCode,added
bb9aa176f6151f3ba66ebd7ff98b58800a205636,AesGcmParametersTest.java,testNotEqualandNotEqualHashCode,added
79f66a0926251a980b928f2165a138bb692f57b0,EcdsaProtoSerializationTest.java,testParsePrivateKey_noAccess_throws,added
79f66a0926251a980b928f2165a138bb692f57b0,EcdsaProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
111b3ba1a0861eb3782898e965ce9d5c3fd56682,EcdsaPrivateKeyTest.java,testEqualities,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testEncode_testVectors,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testUrlSafeEncode_testVectors,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testEncode_noPadding,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testEncode_flags,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testDecode_testVectors,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testUrlSafeDecode_testVectors,added
afc68c5ee086da93c885bbe3184057cfa9d6946c,Base64Test.java,testDecode_flags,added
ad9855775f0de59f9e59b6028d11b2eda558e172,MutablePrimitiveRegistryTest.java,test_registerAllWrappers_checkDispatch,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerAllConstructors_checkDispatch,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerWrapperAndGet,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerSameWrapperTwice_works,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerDifferentWrapperWithSamePrimitiveType_throws,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerDifferentWrapperWithDifferentPrimitiveType_works,added
ad9855775f0de59f9e59b6028d11b2eda558e172,PrimitiveRegistryTest.java,test_registerAllWrappers_checkDispatch,added
abe7962fa7d54fdcae14106f75e04d1f1d61e135,PrimitiveRegistryTest.java,test_registerSameConstructorTwice_works,added
abe7962fa7d54fdcae14106f75e04d1f1d61e135,PrimitiveRegistryTest.java,test_registerDifferentConstructorWithSameKeyType_throws,added
abe7962fa7d54fdcae14106f75e04d1f1d61e135,PrimitiveRegistryTest.java,test_registerDifferentConstructorWithDifferentKeyType_works,added
abe7962fa7d54fdcae14106f75e04d1f1d61e135,PrimitiveRegistryTest.java,test_registerDifferentConstructorWithDifferentPrimitiveType_works,added
d509fa18d97036a8ecf484c7440e6260e7481cea,PrimitiveSetTest.java,testAddFullPrimitiveAndOptionalPrimitive_works,added
d509fa18d97036a8ecf484c7440e6260e7481cea,PrimitiveSetTest.java,testAddFullPrimitiveAndOptionalPrimitive_keysHandledCorrectly,added
d509fa18d97036a8ecf484c7440e6260e7481cea,PrimitiveSetTest.java,testAddFullPrimitiveAndOptionalPrimitive_throwsOnDoublePrimaryAdd,added
fbcabbb3cd623af7d2e8756ee69be5d768ee49ee,AesEaxProtoSerializationTest.java,testParseKeys_noAccess_throws,added
fbcabbb3cd623af7d2e8756ee69be5d768ee49ee,AesEaxProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
18e35f2d8aa7014f568c8da944bcfbad630a9c86,AesEaxKeyTest.java,testEqualities,added
1001ce210d6578c6d6a3a7d9dea53e7402f69db6,AesEaxParametersTest.java,testEqualsAndEqualHashCode,added
1001ce210d6578c6d6a3a7d9dea53e7402f69db6,AesEaxParametersTest.java,testNotEqualandNotEqualHashCode,added
0ffb37f6b250cd18bcc84f01d1d34d2fe3f4f492,AesCmacParametersTest.java,testAesCmacParameters_notEqualHashes,added
0ffb37f6b250cd18bcc84f01d1d34d2fe3f4f492,HmacParametersTest.java,testNotEqualandNotEqualHashCode,added
e07d638654842ef6dc775ff3c3d7f8a174b1d80f,EcdsaPublicKeyTest.java,testEqualities,added
a050366e37677a0d4b43dd7e733589ecfba9f258,AesCmacParametersTest.java,testAesCmacParameters_buildWithVariantSetToNull_fails,added
59c75c5938142a098019e44732126373830a595c,EcdsaParametersTest.java,testEqualsAndEqualHashCode,added
59c75c5938142a098019e44732126373830a595c,EcdsaParametersTest.java,testNotEqual,added
23b855fb16b0973c5954babc09a14dbae164e7aa,EllipticCurvesUtilTest.java,testIsSameSpec,added
23b855fb16b0973c5954babc09a14dbae164e7aa,EllipticCurvesUtilTest.java,testModulus,added
4b71d5415aaf1a69949a8d3a2512089c7faddcd1,MutablePrimitiveRegistryTest.java,test_registerAll_checkDispatch,added
4b71d5415aaf1a69949a8d3a2512089c7faddcd1,MutablePrimitiveRegistryTest.java,test_emptyRegistry_throws,added
74557fa21e58900a1b6df2703d037099c864d11c,PrimitiveRegistryTest.java,test_copyWorks,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveConstructorTest.java,test_primitiveConstructorCreate_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveConstructorTest.java,test_primitiveConstructorConstructPrimitive_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveConstructorTest.java,test_primitiveConstructorGetKeyClass_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveConstructorTest.java,test_primitiveConstructorGetPrimitiveClass_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_registerConstructorAndGet,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_emptyRegistry_throws,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_registerSameSerializerTwice_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_registerDifferentSerializerWithSameKeyType_throws,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_registerDifferentSerializerWithDifferentKeyType_works,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_registerAll_checkDispatch,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_serializer_copyWorks,added
f5812e781f74f114ea7cd02d9323a9c8cd276f08,PrimitiveRegistryTest.java,test_copyDoesNotChangeOldVersion,added
33400f7a026ec5362214c4e7106384bf18b52dd2,EngineFactoryFipsTest.java,testNoFallbackEvenIfPreferred,added
33400f7a026ec5362214c4e7106384bf18b52dd2,EngineFactoryTest.java,testDefaultPolicyStillPrefersDefaultProviders,added
33400f7a026ec5362214c4e7106384bf18b52dd2,EngineFactoryTest.java,testDefaultPolicyRespectsPreferredProviders,added
33400f7a026ec5362214c4e7106384bf18b52dd2,EngineFactoryTest.java,testAndroidPolicyUsesConscrypt,added
33400f7a026ec5362214c4e7106384bf18b52dd2,EngineFactoryTest.java,testAndroidPolicyAlwaysPrefersConscrypt,added
129b26a29f3ae8a4fd3b62b413653ff3f661f2f8,RegistryTest.java,testFips_succeedsOnSuccessiveRestrictToFips,added
129b26a29f3ae8a4fd3b62b413653ff3f661f2f8,RegistryTest.java,testFips_succeedsOnRestrictToFipsWhenBuiltInFipsMode,added
f4b91b014750dc67f829a8027205453e43869dee,ChunkedHmacTest.java,testFailsIfFipsModuleNotAvailable,added
f4b91b014750dc67f829a8027205453e43869dee,ChunkedHmacTest.java,testUpdateAfterFinalize_throwsInComputationVerification,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testFipsCompatibility,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testTagTruncation,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testBitFlipMessage,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testBitFlipTag,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testThrowExceptionUpdateAfterFinalize,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testWycheproofVectors,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testCreateVerificationFailsFast,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testMacTestVectors,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testMacTestVectorsReadOnlyBuffer,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testImplementationTestVectors,added
